"CM視聴率 CMリスト"
"企業名:","ホンダ/本田技研工業"
"商品名:","指定なし"
"CM秒数:","全CM"
"番組名:","指定なし"
"検索期間:","2016年4月1日(金) 05:00～2017年3月31日(金) 28:59"
"レポート作成日時:","2017年5月30日（火）14:03"
"放送:","地デジ 5放送"
"サンプル:","関東エリア","個人 5311","FC 295","FT 209","F1 481","F2 783","F3- 552","F3+ 306","MC 267","MT 210","M1 495","M2 823","M3- 586","M3+ 304","世帯 2045","","※期間内最新サンプル数"
""
"CM視聴率(開始時)"
"日付","曜日","開始時刻","秒数","企業","商品","個人全体","FC","FT","F1","F2","F3-","F3+","MC","MT","M1","M2","M3-","M3+","世帯","放送局","番組"
"2017/3/22","水","22:21:41","15","ホンダ/本田技研工業","フィット","2.9","0.7","1.5","4.3","1.8","3.8","3.9","0.7","2.0","3.6","2.9","3.6","3.6","5.1","TBS","水曜日のダウンタウン"
"2017/3/22","水","11:57:28","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","3.9","0.3","0.5","2.1","2.7","6.3","6.8","0.7","1.0","2.8","3.6","5.4","13.6","8.5","TBS","２０１７ＷＢＣ準決勝日本ＶＳアメリカ"
"2017/3/22","水","11:57:13","15","ホンダ/本田技研工業","フィット","4.1","0.3","0.5","2.1","2.9","6.3","7.5","0.7","1.0","2.8","3.9","5.4","14.3","8.8","TBS","２０１７ＷＢＣ準決勝日本ＶＳアメリカ"
"2017/3/22","水","08:07:56","30","ホンダ/本田技研工業","企業","2.9","0.7","1.0","1.0","4.6","4.7","5.5","1.1","1.0","1.2","2.8","3.1","4.2","5.5","EX","羽鳥慎一モーニングショー"
"2017/3/21","火","23:48:59","15","ホンダ/本田技研工業","フィット","1.6","0.0","0.0","1.2","1.6","1.6","1.9","0.0","0.0","1.2","1.8","2.2","4.9","3.2","TX","ワールドビジネスサテライト"
"2017/3/21","火","23:48:44","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","1.6","0.0","0.0","1.2","1.6","1.8","1.9","0.0","0.0","1.2","1.9","2.4","4.9","3.3","TX","ワールドビジネスサテライト"
"2017/3/21","火","22:47:12","15","ホンダ/本田技研工業","フィット","1.7","0.0","0.0","1.8","1.5","2.2","2.9","0.0","0.0","1.0","2.2","2.4","4.2","3.3","TX","ガイアの夜明け"
"2017/3/21","火","22:46:57","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","1.7","0.0","0.0","1.8","1.5","2.2","2.9","0.0","0.0","1.0","2.2","2.4","4.2","3.3","TX","ガイアの夜明け"
"2017/3/21","火","21:19:01","15","ホンダ/本田技研工業","フリード","5.1","2.3","3.4","5.1","6.5","8.1","5.5","1.8","1.5","4.4","4.6","7.0","3.9","8.8","TBS","マツコの知らない世界"
"2017/3/21","火","21:18:46","15","ホンダ/本田技研工業","フィット","5.2","2.3","3.4","5.1","6.7","8.3","5.5","1.5","1.5","4.4","4.6","7.1","3.9","9.0","TBS","マツコの知らない世界"
"2017/3/21","火","06:42:32","30","ホンダ/本田技研工業","フリード","4.2","2.7","1.9","3.5","7.2","5.4","3.2","4.0","1.5","2.2","4.2","4.8","2.9","7.5","NTV","ＺＩＰ！"
"2017/3/20","月(祝)","23:57:11","30","ホンダ/本田技研工業","フリード","2.5","0.0","1.5","1.0","1.8","4.8","4.5","1.5","0.5","2.0","2.7","4.2","3.2","4.6","EX","橋下×羽鳥の番組"
"2017/3/20","月(祝)","23:48:18","15","ホンダ/本田技研工業","フィット","1.1","0.0","0.0","0.2","1.1","2.0","1.3","0.4","0.5","0.2","1.2","2.0","2.3","2.0","TBS","ＮＥＷＳ２３"
"2017/3/20","月(祝)","23:48:03","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","1.1","0.0","0.0","0.4","1.1","2.0","1.3","0.4","0.5","0.4","1.3","2.0","2.3","2.1","TBS","ＮＥＷＳ２３"
"2017/3/20","月(祝)","23:45:44","30","ホンダ/本田技研工業","NSX","1.4","0.0","0.0","1.2","1.6","1.4","2.3","0.4","0.5","0.8","1.8","1.4","3.9","2.6","TX","ワールドビジネスサテライト"
