date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/3,金,18,30,企業,3.1,1,1.5,3,4.2,5.2,4.2,2.2,1.5,1.2,3.1,3,4.5,6.1,NTV,ｎｅｗｓｅｖｅｒｙ．,News
2017/3/3,金,17,30,アクセラ,1.5,0,0,0.2,2,3.2,3.6,0.7,1,0.4,0.8,2.5,2.9,3.2,EX,スーパーＪチャンネル,News
2017/3/3,金,15,30,企業,1.4,0,1,1.2,2.4,2.3,1.3,2.9,1.5,0.4,0.8,1.5,0.3,2.8,CX,メディアミックスα・救命病棟２４時（再）,Drama
2017/3/3,金,14,30,アクセラ,0.9,0,0,0,0.9,1.2,2.6,0,0.5,0.6,0.4,1.7,3.5,2.2,TBS,ゴゴスマ〜ＧＯＧＯ！Ｓｍｉｌｅ！〜,Informative
2017/3/3,金,13,30,アクセラ,1.1,0,0,0.2,1.5,1.8,2.9,0.4,1,0,0.7,1.2,2.9,2.2,EX,ワイド！スクランブル第２部,Informative
2017/3/3,金,12,30,企業,0.5,0,0,0.2,0.1,1.1,1.3,0.4,0,0.4,0,0.8,2.9,1.2,TX,ＣＳＩ：科学捜査班ザ・ファイナル,Drama
2017/3/3,金,12,30,企業,2.8,1.3,2.9,4.6,5.3,4.4,2,2.5,0.5,1.8,2.2,1,1,5.5,NTV,ヒルナンデス！,Informative
2017/3/3,金,12,30,アクセラ,1.1,0,0,0.2,0.9,1.8,4.6,0.4,1,0,0.4,0.8,5.1,2.1,EX,徹子の部屋,Variety
2017/3/3,金,8,30,企業,2.5,1.3,2.9,3.6,4.2,3.2,3.3,1.4,1,1,2.9,1,1.6,5,NTV,スッキリ！！,Informative
2017/3/2,木,24,30,企業,1.5,0.3,1.5,0.8,2,2.3,1.3,0.4,1.5,1,1.6,1.9,2.3,3,CX,ユアタイム〜あなたの時間〜,News
2017/3/2,木,23,30,企業,2.6,0,2.9,2,2.9,4.6,3.3,0.4,1,1.2,3.2,3.6,1.9,4.8,NTV,ＮＥＷＳＺＥＲＯ,News
